country,renewables_share_energy,carbon_intensity_elec,energy_per_gdp,renewable_normalized,carbon_normalized,efficiency_normalized,renewable_score,carbon_score,efficiency_score,transition_score,transition_score_100,transition_category
Philippines,13.031899452209473,602.6699829101562,0.5626459121704102,0.1587257636514659,0.4497520267775835,0.040456471426723484,0.1587257636514659,0.5502479732224165,0.9595435285732765,0.4754982004642083,47.549820046420834,Transitioning
Mexico,9.242801666259766,464.3800048828125,1.1295467615127563,0.11255670456686467,0.34158284160491886,0.1676737356716494,0.11255670456686467,0.6584171583950811,0.8323262643283507,0.4748547980504485,47.48547980504485,Transitioning
Japan,11.154245376586914,519.5999755859375,1.0465550422668457,0.13584709256535346,0.3847754092907305,0.14904970381546873,0.13584709256535346,0.6152245907092695,0.8509502961845312,0.47061873254675546,47.06187325467555,Transitioning
Estonia,13.240793228149414,487.7000122070313,1.5826635360717771,0.16127107380934544,0.359823542966391,0.26935690744631824,0.16127107380934544,0.640176457033609,0.7306430925536818,0.4667076308479182,46.67076308479182,Transitioning
Bulgaria,12.026074409484863,476.3299865722656,1.6575616598129272,0.14647007682318713,0.35093001050764894,0.28616466917481226,0.14647007682318713,0.6490699894923511,0.7138353308251877,0.46098309269125287,46.09830926912529,Transitioning
Australia,13.247021675109863,577.8599853515625,1.2354755401611328,0.16134696563161208,0.4303458683680547,0.19144503437421095,0.16134696563161208,0.5696541316319452,0.8085549656257891,0.4541114320305808,45.41114320305808,Transitioning
Czechia,7.495779514312744,488.3599853515625,1.308400273323059,0.09126974563578688,0.3603397680630908,0.2078099508484303,0.09126974563578688,0.6396602319369091,0.7921900491515697,0.4508100008593924,45.08100008593924,Transitioning
Cyprus,7.765375137329102,555.1300048828125,0.9246655106544496,0.09455469021920368,0.4125666807409577,0.12169667943772566,0.09455469021920368,0.5874333192590423,0.8783033205622743,0.44845586790375325,44.84558679037532,Transitioning
North Macedonia,13.052943229675291,624.5800170898438,1.0682621002197266,0.15898217598497316,0.4668898597437108,0.15392094810937862,0.15898217598497316,0.5331101402562892,0.8460790518906214,0.44605273687462926,44.605273687462926,Transitioning
China,15.217976570129396,586.75,1.650836706161499,0.18536248017934054,0.4372995583925365,0.2846555336589613,0.18536248017934054,0.5627004416074635,0.7153444663410387,0.4422940619829293,44.22940619829293,Transitioning
Egypt,5.6872239112854,570.0399780273438,0.7601496577262878,0.06923301942524185,0.42422912851191164,0.08477795412849204,0.06923301942524185,0.5757708714880884,0.9152220458715079,0.4410459655396337,44.10459655396337,Transitioning
South Korea,4.332525253295898,438.05999755859375,1.6933194398880005,0.05272640863929961,0.320995567048867,0.2941890123415226,0.05272640863929961,0.679004432951133,0.7058109876584774,0.43385453416786857,43.38545341678686,Transitioning
Thailand,7.247942924499512,560.2899780273438,1.2346111536026,0.08824992856987675,0.41660276562952725,0.19125105884329724,0.08824992856987675,0.5833972343704728,0.8087489411567028,0.43040865340748036,43.040865340748034,Transitioning
Indonesia,10.207818984985352,675.8099975585938,0.785476803779602,0.1243151610973651,0.5069614927193159,0.09046157629235396,0.1243151610973651,0.4930385072806841,0.909538423707646,0.4288491520927489,42.88491520927489,Transitioning
Israel,5.38734245300293,595.8599853515625,0.9142184853553772,0.06557905071080035,0.4444253075355335,0.11935228009595839,0.06557905071080035,0.5555746924644664,0.8806477199040417,0.42459104125091507,42.45910412509151,Transitioning
Belarus,1.147472262382507,439.2200012207031,1.726731538772583,0.01391746043259369,0.32190291154857376,0.3016869651452776,0.01391746043259369,0.6780970884514262,0.6983130348547224,0.4164684265245525,41.64684265245525,Transitioning
Russia,5.920468807220459,436.3299865722656,2.311911106109619,0.07207504092744182,0.3196423679132516,0.43300612569162306,0.07207504092744182,0.6803576320867484,0.5669938743083769,0.41437184406735145,41.43718440673514,Transitioning
Morocco,6.615607261657715,662.6400146484375,0.8559589982032776,0.08054510166166169,0.49666004976263367,0.10627836676455196,0.08054510166166169,0.5033399502373663,0.8937216332354481,0.41229834740670085,41.229834740670086,Transitioning
India,9.421208381652832,705.2000122070312,0.960217535495758,0.11473053872195434,0.5299500995734262,0.12967484941917087,0.11473053872195434,0.4700499004265738,0.8703251505808292,0.40797720577557706,40.797720577557705,Transitioning
Malaysia,7.832596778869629,604.0399780273438,1.544591188430786,0.09537376645195669,0.4508236247171493,0.26081315607270944,0.09537376645195669,0.5491763752828507,0.7391868439272906,0.4056574254793811,40.56574254793811,Transitioning
Taiwan,4.234935283660889,639.22998046875,1.055248498916626,0.05153730312430063,0.4783489301992165,0.1510005877718077,0.05153730312430063,0.5216510698007835,0.8489994122281923,0.39907523161567215,39.90752316156721,High Priority
Poland,9.36988925933838,732.47998046875,0.9641329050064088,0.11410523008012104,0.5512882469974051,0.13055349089277396,0.11410523008012104,0.4487117530025949,0.8694465091072261,0.3990160950545316,39.90160950545316,High Priority
Bangladesh,0.6926618218421936,676.47998046875,0.5968392491340637,0.008375726941454394,0.507485547365249,0.04812974055124017,0.008375726941454394,0.492514452634751,0.9518702594487598,0.3907301237202342,39.07301237202342,High Priority
Hong Kong,0.9266648292541504,682.27001953125,0.6095179915428162,0.011226985812428385,0.5120144641851264,0.050974955768643304,0.011226985812428385,0.4879855358148736,0.9490250442313567,0.38949001749719214,38.949001749719216,High Priority
Singapore,0.5213484764099121,504.2200012207031,1.9394278526306152,0.00628832344488264,0.37274533076446936,0.3494177864968232,0.00628832344488264,0.6272546692355306,0.6505822135031768,0.38353363977280064,38.35336397728006,High Priority
United Arab Emirates,1.4112470149993896,558.489990234375,1.7352122068405151,0.01713147939609282,0.41519483126101014,0.30359009757456085,0.01713147939609282,0.5848051687389899,0.6964099024254391,0.38005663973912096,38.00566397391209,High Priority
Algeria,0.2279137521982193,633.6500244140625,1.232331395149231,0.0027129063179246148,0.47398433843092885,0.19073946209068465,0.0027129063179246148,0.5260156615690712,0.8092605379093154,0.3733435347366614,37.33435347366614,High Priority
Azerbaijan,2.188248634338379,671.3900146484375,1.199096918106079,0.026599019084594482,0.5035042215801581,0.18328136910503218,0.026599019084594482,0.49649577841984194,0.8167186308949679,0.3725816451807682,37.25816451807682,High Priority
Qatar,0.1923282444477081,602.72998046875,1.4799269437789917,0.0022793072126227987,0.4497989563318289,0.24630196190425974,0.0022793072126227987,0.550201043668171,0.7536980380957403,0.3717317479714656,37.17317479714656,High Priority
Iraq,1.0945245027542114,688.7100219726562,1.2887673377990725,0.013272307316793765,0.5170517765524706,0.20340415687342372,0.013272307316793765,0.4829482234475294,0.7965958431265763,0.3578073809310445,35.78073809310445,High Priority
Oman,1.1359578371047974,547.3699951171875,2.393847942352295,0.013777160495510234,0.40649687043906,0.4513934330307639,0.013777160495510234,0.59350312956094,0.5486065669692362,0.35263342941642734,35.26334294164273,High Priority
South Africa,3.64823317527771,729.9500122070312,1.860482096672058,0.04438850786030777,0.5493093284287095,0.3317017024435954,0.04438850786030777,0.4506906715712905,0.6682982975564046,0.33169133128392025,33.169133128392026,High Priority
Kuwait,0.0928031802177429,636.8900146484375,2.140293836593628,0.001066623130446149,0.4765186298424904,0.3944937834534057,0.001066623130446149,0.5234813701575096,0.6055062165465943,0.3309204406245012,33.09204406245012,High Priority
Saudi Arabia,0.1567925065755844,700.0499877929688,1.7271108627319336,0.0018463145388742735,0.525921796492936,0.3017720885957489,0.0018463145388742735,0.474078203507064,0.6982279114042511,0.3300153894992255,33.00153894992255,High Priority
Iran,1.1119308471679688,655.3699951171875,2.2198827266693115,0.013484398582072172,0.4909735054439327,0.4123541921500315,0.013484398582072172,0.5090264945560673,0.5876458078499684,0.3265335188252495,32.65335188252495,High Priority
Kazakhstan,3.995128154754639,831.010009765625,1.626742243766785,0.048615322713967624,0.6283575555338081,0.2792485359575754,0.048615322713967624,0.3716424444661919,0.7207514640424246,0.31225339968054877,31.225339968054875,High Priority
Uzbekistan,2.387324571609497,1121.3499755859375,1.505496382713318,0.029024701721837094,0.8554588825701946,0.2520399566052314,0.029024701721837094,0.14454111742980535,0.7479600433947686,0.2190183363396107,21.901833633961072,High Priority
Trinidad and Tobago,0.008880702778697,682.1099853515625,4.613193035125732,4.405204933632706e-05,0.5118892868797027,0.9494329252022353,4.405204933632706e-05,0.4881107131202973,0.05056707479776468,0.20537532102740638,20.537532102740638,High Priority
Turkmenistan,0.0052653481252491,1306.1400146484375,4.838528156280518,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,High Priority
